Title,Price,Availability,Rating,Timestamp
A Light in the Attic,952671,In stock,3,2025-06-12T10:34:48.398758
Tipping the Velvet,988923,In stock,1,2025-06-12T10:34:48.398758
Soumission,921940,In stock,1,2025-06-12T10:34:48.398758
Sharp Objects,879983,In stock,4,2025-06-12T10:34:48.401302
Sapiens: A Brief History of Humankind,997940,In stock,5,2025-06-12T10:34:48.402303
The Requiem Red,416805,In stock,1,2025-06-12T10:34:48.402303
The Dirty Little Secrets of Getting Your Dream Job,613522,In stock,4,2025-06-12T10:34:48.403296
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",329947,In stock,3,2025-06-12T10:34:48.403296
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,415885,In stock,4,2025-06-12T10:34:48.403296
The Black Maria,959664,In stock,1,2025-06-12T10:34:48.404297
"Starving Hearts (Triangular Trade Trilogy, #1)",257443,In stock,2,2025-06-12T10:34:48.404809
Shakespeare's Sonnets,380185,In stock,4,2025-06-12T10:34:48.404809
Set Me Free,321298,In stock,5,2025-06-12T10:34:48.404809
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),962240,In stock,5,2025-06-12T10:34:48.406826
Rip it Up and Start Again,644438,In stock,5,2025-06-12T10:34:48.406826
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",1053514,In stock,3,2025-06-12T10:34:48.407824
Olio,439439,In stock,1,2025-06-12T10:34:48.407824
Mesaerion: The Best Science Fiction Stories 1800-1849,691731,In stock,1,2025-06-12T10:34:48.407824
Libertarianism for Beginners,944574,In stock,2,2025-06-12T10:34:48.408825
It's Only the Himalayas,831218,In stock,2,2025-06-12T10:34:48.410403
In Her Wake,236281,In stock,1,2025-06-12T10:34:51.062639
How Music Works,686762,In stock,2,2025-06-12T10:34:51.063652
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",561629,In stock,3,2025-06-12T10:34:51.063652
Chase Me (Paris Nights #2),465018,In stock,5,2025-06-12T10:34:51.063652
Black Dust,635421,In stock,5,2025-06-12T10:34:51.064651
Birdsong: A Story in Pictures,1005485,In stock,3,2025-06-12T10:34:51.064651
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,414045,In stock,3,2025-06-12T10:34:51.064651
Aladdin and His Wonderful Lamp,977698,In stock,3,2025-06-12T10:34:51.065652
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,741600,In stock,5,2025-06-12T10:34:51.065652
Wall and Piece,813000,In stock,4,2025-06-12T10:34:51.067655
The Four Agreements: A Practical Guide to Personal Freedom,324979,In stock,5,2025-06-12T10:34:51.067655
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,571382,In stock,3,2025-06-12T10:34:51.068653
The Elephant Tree,438335,In stock,5,2025-06-12T10:34:51.070230
The Bear and the Piano,678849,In stock,1,2025-06-12T10:34:51.070230
Sophie's World,293327,In stock,5,2025-06-12T10:34:51.070230
Penny Maybe,612602,In stock,3,2025-06-12T10:34:51.071190
Maude (1883-1993):She Grew Up with the country,331604,In stock,2,2025-06-12T10:34:51.071190
"In a Dark, Dark Wood",361231,In stock,1,2025-06-12T10:34:51.073207
Behind Closed Doors,960952,In stock,4,2025-06-12T10:34:51.073207
You can't bury them all: Poems,618859,In stock,2,2025-06-12T10:34:51.073207
Slow States of Collapse: Poems,1054618,In stock,3,2025-06-12T10:34:53.622711
Reasons to Stay Alive,485996,In stock,2,2025-06-12T10:34:53.623732
Private Paris (Private #10),876119,In stock,5,2025-06-12T10:34:53.623732
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,425270,In stock,5,2025-06-12T10:34:53.624726
